ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-11610,-166,1,1,1,0,High skill tech staff,1.0,5
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327,-7288,1,1,0,0,Laborers,2.0,5
5116455,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18090,-9194,1,0,0,0,Medicine staff,2.0,5
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091,-1161,1,0,0,0,Laborers,3.0,5
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18880,-4114,1,0,0,0,Accountants,3.0,5
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,3.0,5
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,3.0,5
5116745,M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15627,-2315,1,0,0,0,,3.0,5
5058348,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611,365243,1,0,0,0,,1.0,5
5100427,F,N,Y,1,202500.0,Working,Incomplete higher,Married,House / apartment,-10746,-1100,1,0,1,0,Sales staff,3.0,5
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022,-1674,1,0,0,1,Laborers,2.0,5
5104947,F,N,Y,3,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16694,-412,1,1,1,0,Sales staff,5.0,5
5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22939,365243,1,0,0,0,,1.0,5
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16310,-613,1,0,0,0,Laborers,1.0,5
5097145,M,Y,N,1,405000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14740,-1434,1,0,1,0,Managers,3.0,5
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-18971,-8161,1,0,0,0,Managers,2.0,5
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,1,0,Cleaning staff,1.0,5
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012,-584,1,0,0,0,Core staff,1.0,5
5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16611,-8369,1,0,0,0,,4.0,5
5093286,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-17576,-1216,1,0,0,0,Laborers,2.0,5
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15014,-6866,1,0,0,0,Core staff,3.0,5
5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22111,365243,1,0,0,0,,2.0,5
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17320,-535,1,0,0,0,Laborers,4.0,5
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15452,-860,1,0,0,0,Security staff,2.0,5
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12755,-2105,1,0,0,0,,3.0,5
5112858,F,Y,N,1,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12380,-2110,1,0,0,0,Laborers,3.0,5
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667,-2150,1,1,0,0,Managers,2.0,5
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-20264,-2531,1,1,1,0,Accountants,2.0,5
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,2.0,5
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476,-4987,1,0,0,0,High skill tech staff,4.0,5
5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,-19305,-1905,1,0,0,0,Core staff,1.0,5
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13581,-2576,1,0,0,0,,2.0,5
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052,-140,1,0,1,0,Sales staff,2.0,5
5149192,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847,-502,1,0,1,1,Core staff,3.0,5
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122,-1567,1,0,0,1,Waiters/barmen staff,3.0,5
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286,365243,1,0,0,0,,1.0,5
5117122,F,N,Y,0,76500.0,Pensioner,Lower secondary,Separated,House / apartment,-21427,365243,1,0,0,0,,1.0,5
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,2.0,5
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836,-931,1,1,1,0,Laborers,2.0,5
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134,365243,1,0,0,0,,2.0,5
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,5
5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,5
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772,365243,1,0,0,0,,2.0,5
5137241,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17355,-3273,1,1,1,0,Secretaries,2.0,5
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,3.0,5
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702,-185,1,0,1,0,,2.0,5
5142183,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841,-4305,1,1,1,0,Managers,4.0,5
5142239,F,Y,Y,0,270000.0,State servant,Higher education,Married,House / apartment,-16421,-8230,1,0,0,0,Managers,2.0,5
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,3.0,5
5009628,F,N,N,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,-19305,-3296,1,1,0,0,Laborers,2.0,5
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952,-499,1,0,1,0,Core staff,1.0,5
5143088,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20822,-12827,1,1,0,0,,2.0,5
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10177,-189,1,0,0,1,Managers,1.0,5
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-12723,-1132,1,1,1,0,Sales staff,3.0,5
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209,-1081,1,0,0,0,Security staff,2.0,5
5036625,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14999,-321,1,1,1,0,Drivers,3.0,5
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3.0,5
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13939,-134,1,0,0,0,Laborers,2.0,5
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19175,-1285,1,0,1,0,Laborers,2.0,5
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21055,-808,1,0,0,0,Drivers,2.0,5
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20333,-1546,1,0,0,0,Drivers,2.0,5
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13015,-3647,1,0,0,0,,2.0,5
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-10749,-2394,1,0,0,0,Laborers,1.0,5
5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363,365243,1,0,0,0,,2.0,5
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21876,365243,1,0,1,1,,2.0,5
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-12026,-4770,1,0,0,0,Cleaning staff,2.0,5
5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-16053,-7369,1,1,1,0,,4.0,5
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996,-691,1,0,0,0,Managers,2.0,5
5025127,M,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-11111,-3350,1,0,0,0,High skill tech staff,2.0,5
5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20846,365243,1,0,0,0,,2.0,5
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173,-678,1,0,1,1,Core staff,1.0,5
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-16169,-855,1,1,1,0,,1.0,5
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976,-854,1,0,0,0,Laborers,2.0,5
5038807,M,Y,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-12658,-5374,1,0,0,1,Laborers,2.0,5
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800,-1086,1,0,0,0,Accountants,2.0,5
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413,-622,1,0,1,0,High skill tech staff,2.0,5
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862,-1868,1,1,0,0,Sales staff,4.0,5
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811,-4327,1,0,0,0,,1.0,5
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863,-1644,1,0,0,1,,2.0,5
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896,-248,1,0,0,0,Laborers,2.0,5
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,2.0,5
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-8907,-913,1,0,0,1,,3.0,5
5126463,F,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17641,-10454,1,1,1,0,Medicine staff,1.0,5
5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23271,365243,1,0,1,0,,1.0,5
5090729,M,Y,Y,2,360000.0,Commercial associate,Incomplete higher,Married,House / apartment,-12446,-2165,1,0,0,0,,4.0,5
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14523,-3420,1,0,0,0,Core staff,2.0,5
5065313,F,N,Y,1,157500.0,State servant,Higher education,Married,House / apartment,-15645,-4280,1,0,0,0,Core staff,3.0,5
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660,-1935,1,0,0,0,Core staff,1.0,5
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,2.0,5
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-18132,-1039,1,0,1,0,Laborers,2.0,5
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952,-499,1,0,1,0,Core staff,1.0,5
5095839,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14882,-1132,1,1,1,0,Laborers,2.0,5
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Sales staff,1.0,5
5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23324,365243,1,0,1,0,,2.0,5
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12946,-2418,1,0,0,1,Laborers,3.0,5
5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,-21590,365243,1,0,0,0,,2.0,5
5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22011,365243,1,0,0,0,,2.0,5
5069475,F,N,Y,2,225000.0,Working,Higher education,Married,House / apartment,-13600,-5711,1,0,1,0,Core staff,4.0,5
5078801,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,-18927,-2978,1,0,0,0,High skill tech staff,2.0,5
5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17468,-7413,1,0,0,0,Core staff,6.0,5
5018501,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,2.0,5
5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363,365243,1,0,0,0,,2.0,5
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-18020,-1595,1,0,0,0,Cooking staff,1.0,5
5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-21363,365243,1,0,0,0,,2.0,5
5092136,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17000,-5740,1,0,0,0,Cooking staff,2.0,5
5067209,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22734,365243,1,0,0,0,,2.0,5
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15047,-7553,1,0,0,0,Core staff,2.0,5
5090737,F,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18972,-3715,1,0,0,0,Laborers,1.0,5
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-9510,-2878,1,0,0,0,Laborers,3.0,5
5126278,F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21244,365243,1,0,0,0,,2.0,5
5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19004,-1570,1,0,0,0,,2.0,5
5065376,F,N,Y,0,215550.0,Working,Higher education,Married,House / apartment,-10429,-931,1,0,1,0,High skill tech staff,2.0,5
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394,-919,1,0,1,0,Managers,1.0,5
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-12387,-1325,1,0,1,1,Medicine staff,2.0,5
5062137,M,N,Y,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947,-137,1,0,0,0,Laborers,2.0,5
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3.0,5
5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,-20872,365243,1,0,0,0,,2.0,5
5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21664,365243,1,0,1,0,,2.0,5
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348,-2420,1,0,0,0,Managers,2.0,5
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-19406,-346,1,0,0,0,Security staff,1.0,5
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,3.0,5
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19764,-6944,1,0,0,0,Medicine staff,2.0,5
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-12387,-1325,1,0,1,1,Medicine staff,2.0,5
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-15160,-3974,1,0,0,0,High skill tech staff,2.0,4
5117791,F,Y,N,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9662,-796,1,1,1,0,Core staff,4.0,4
5105196,M,N,Y,0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1.0,4
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20296,-1770,1,0,0,0,Security staff,2.0,4
5149698,M,N,Y,0,171000.0,Working,Incomplete higher,Single / not married,House / apartment,-10145,-107,1,0,0,0,Laborers,1.0,4
5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,-23423,365243,1,0,0,0,,2.0,4
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Drivers,2.0,4
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832,365243,1,0,1,0,,2.0,4
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13030,-1626,1,0,1,0,Laborers,3.0,4
5105056,M,Y,N,0,225000.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-11528,-606,1,0,1,1,High skill tech staff,1.0,4
5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23902,365243,1,0,1,0,,1.0,4
5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22279,365243,1,0,1,0,,1.0,4
5041175,F,N,Y,1,180000.0,Working,Incomplete higher,Married,Municipal apartment,-10754,-65,1,1,1,0,Core staff,3.0,4
5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23835,365243,1,0,0,0,,2.0,4
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Sales staff,1.0,4
5137203,M,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,-9900,-170,1,1,0,0,Drivers,1.0,4
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712,-217,1,0,0,0,Laborers,2.0,4
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-11210,-1724,1,1,0,0,Accountants,2.0,4
5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253,-3496,1,1,0,0,,3.0,4
5126349,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15218,-2265,1,0,1,0,Managers,2.0,4
5085623,M,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12440,-503,1,0,1,0,Core staff,2.0,4
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11210,-1724,1,1,0,0,Accountants,2.0,4
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15640,-1328,1,0,0,0,Core staff,2.0,4
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947,-137,1,0,0,0,Laborers,2.0,4
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135,-925,1,0,0,0,Sales staff,4.0,4
5033829,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13803,-2209,1,0,1,0,Laborers,4.0,3
5148602,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22946,365243,1,0,0,0,,2.0,3
5025155,F,N,Y,1,202500.0,Working,Higher education,Single / not married,House / apartment,-10106,-93,1,0,1,0,Accountants,2.0,3
5135673,F,Y,N,0,56250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23773,365243,1,0,1,0,,2.0,3
5009524,M,Y,N,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,-11998,-1135,1,1,0,0,Laborers,2.0,3
5116761,F,N,Y,0,90000.0,Pensioner,Incomplete higher,Separated,House / apartment,-24129,365243,1,0,0,0,,1.0,3
5142973,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10656,-926,1,1,1,0,Laborers,1.0,3
5145919,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,1,0,0,1,,3.0,3
5024430,F,Y,Y,0,162000.0,Pensioner,Higher education,Married,House / apartment,-23886,365243,1,0,1,0,,2.0,3
5023536,F,N,Y,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13920,-904,1,0,0,0,Core staff,1.0,3
5069453,F,N,Y,0,202500.0,State servant,Higher education,Widow,House / apartment,-15784,-4919,1,0,0,0,,1.0,3
5066706,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,-9710,-1376,1,1,1,0,Drivers,1.0,3
5089565,F,N,N,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-11309,-2713,1,1,0,0,Sales staff,2.0,3
5029451,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,1,0,1,0,Core staff,2.0,3
5126209,M,Y,N,0,162000.0,Pensioner,Higher education,Married,House / apartment,-20053,365243,1,0,0,0,,2.0,3
5117723,F,N,N,0,247500.0,Working,Higher education,Separated,House / apartment,-18696,-1800,1,0,1,0,High skill tech staff,1.0,3
5023963,M,N,Y,3,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12681,-1677,1,0,0,0,Core staff,5.0,3
5118441,F,Y,N,1,108000.0,Commercial associate,Higher education,Married,House / apartment,-16138,-431,1,1,0,0,Sales staff,3.0,3
5126203,F,N,N,0,270000.0,State servant,Higher education,Married,House / apartment,-11451,-2206,1,0,1,0,Accountants,2.0,3
5033749,F,N,Y,3,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11854,-2917,1,1,1,0,Medicine staff,5.0,3
5028776,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23267,365243,1,0,0,0,,2.0,3
5126012,F,N,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-20103,-1444,1,1,1,0,Waiters/barmen staff,2.0,3
5010061,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,1,0,0,0,,2.0,3
5022044,F,Y,N,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-11714,-1740,1,0,0,1,Core staff,2.0,3
5142968,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10656,-926,1,1,1,0,Laborers,3.0,3
5137124,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22717,365243,1,0,0,0,,2.0,3
5090400,F,N,N,0,36000.0,Working,Secondary / secondary special,Married,With parents,-14500,-459,1,1,0,0,Core staff,2.0,3
5091902,F,Y,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,-19809,-1539,1,0,0,0,Cleaning staff,1.0,3
5143179,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17473,-2631,1,0,0,0,Managers,1.0,3
5142972,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10656,-926,1,1,1,0,Laborers,3.0,3
5118544,F,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18279,-1741,1,0,1,0,Sales staff,2.0,3
5125667,F,N,N,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-18532,-3666,1,1,1,0,Core staff,2.0,3
5105556,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19802,-4532,1,0,0,0,Laborers,2.0,3
5065746,F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-21955,365243,1,0,1,0,,2.0,3
5048363,F,N,N,0,108000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22182,365243,1,0,0,0,,1.0,3
5061132,M,N,Y,0,135000.0,State servant,Higher education,Married,House / apartment,-19113,-2816,1,0,1,0,Core staff,2.0,3
5065624,M,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15302,-596,1,1,1,0,Laborers,2.0,3
5096070,F,Y,N,0,180000.0,Working,Higher education,Married,House / apartment,-14943,-1650,1,1,0,1,Core staff,2.0,3
5096069,F,Y,N,0,180000.0,Working,Higher education,Married,House / apartment,-14943,-1650,1,1,0,0,Core staff,2.0,3
5095815,F,N,N,3,112500.0,Working,Incomplete higher,Married,Municipal apartment,-15447,-2470,1,1,0,0,Sales staff,5.0,3
5114647,M,N,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-18993,-1747,1,0,0,1,Security staff,2.0,3
5114353,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-9810,-2993,1,1,0,0,,2.0,3
